Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SBILIFE,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TATACONSUM,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2012-01-31,138.35824584960938,575.4906616210938,276.33038330078125,200.63394165039062,1236.3824462890625,69.58625030517578,437.4305419921875,319.4443359375,56.602474212646484,200.0843048095703,334.1015625,147.8658905029297,354.959228515625,1570.197021484375,157.4387969970703,408.4712219238281,90.05017852783203,605.2726440429688,229.77517700195312,0.0,1389.0831298828125,135.0433807373047,319.1295166015625,142.9664764404297,277.9009094238281,272.4742431640625,105.15338897705078,60.61772918701172,247.25897216796875,495.3623352050781,309.7259826660156,1089.5223388671875,3715.447998046875,94.94957733154297,121.95455932617188,78.79454803466797,376.6120910644531,187.2568817138672,0.0,2165.853271484375,257.4490051269531,234.05484008789062,338.0693054199219,466.7263488769531,0.0,135.2047576904297,190.62574768066406,1170.276611328125,87.08949279785156,139.86654663085938
2012-02-29,140.88140869140625,554.583740234375,293.2260437011719,220.030517578125,1389.2938232421875,73.0061264038086,627.3809204101562,305.7438049316406,65.64081573486328,228.37973022460938,303.1458435058594,151.27137756347656,328.7896423339844,1524.426513671875,163.03533935546875,432.99212646484375,99.8187484741211,576.0839233398438,242.36622619628906,0.0,1453.5849609375,136.88510131835938,319.8446350097656,143.67971801757812,297.5572814941406,285.5896911621094,107.42864227294922,70.12544250488281,272.198486328125,494.4173889160156,325.7451171875,1152.5513916015625,3863.069580078125,99.92220306396484,129.69139099121094,86.02225494384766,378.0899963378906,203.82432556152344,0.0,2680.428466796875,258.53021240234375,260.18902587890625,353.62353515625,504.1100158691406,0.0,124.52033233642578,215.54934692382812,1356.602783203125,91.75554656982422,146.1280059814453
2012-03-31,122.55307006835938,611.1808471679688,299.5024108886719,214.02569580078125,1295.809326171875,75.4865493774414,594.6040649414062,294.80096435546875,69.2660903930664,262.5691223144531,291.4238586425781,160.15509033203125,345.9127197265625,1636.06201171875,188.6178741455078,410.9248352050781,99.40657043457031,585.1619262695312,243.41943359375,0.0,1531.389892578125,119.20467376708984,344.8298034667969,140.62860107421875,305.3625793457031,284.5518493652344,117.30536651611328,62.626895904541016,269.49090576171875,493.9449768066406,320.79669189453125,1237.737060546875,4035.574951171875,89.89408111572266,118.82675170898438,82.24899291992188,345.57598876953125,190.34141540527344,0.0,3069.636474609375,267.72064208984375,264.89703369140625,352.6115417480469,482.1462707519531,0.0,149.30201721191406,215.4080352783203,1455.9736328125,76.78287506103516,148.58177185058594
2012-04-30,119.32424926757812,581.231689453125,325.2784423828125,206.6854248046875,1253.4881591796875,80.03553771972656,723.5718383789062,269.2821960449219,66.5025863647461,247.6348419189453,298.4092102050781,164.56625366210938,374.60906982421875,1637.31787109375,214.22024536132812,395.3746032714844,105.93681335449219,586.0306396484375,253.01483154296875,0.0,1620.522216796875,111.05510711669922,350.2558898925781,136.42837524414062,305.6005554199219,244.58969116210938,126.97525787353516,59.051170349121094,289.6611328125,461.6666564941406,326.8959045410156,1265.444091796875,4095.850830078125,89.72832489013672,119.89368438720703,84.76448822021484,342.7356872558594,194.24363708496094,0.0,2687.67822265625,283.163330078125,304.3385314941406,347.5517578125,497.6695556640625,0.0,145.26681518554688,219.50697326660156,1368.8731689453125,65.72863006591797,137.10816955566406
2012-05-31,116.80764770507812,638.0679321289062,373.2182312011719,181.46142578125,1168.460205078125,78.37882995605469,637.7391357421875,264.46734619140625,68.98873901367188,236.40084838867188,296.3040771484375,150.1658477783203,421.9850769042969,1572.8946533203125,218.1243438720703,361.3438415527344,104.31257629394531,569.22119140625,236.8196563720703,0.0,1369.03564453125,107.46377563476562,358.9629211425781,126.8734130859375,284.1357116699219,243.36659240722656,119.06351470947266,54.59022521972656,279.2779541015625,443.08966064453125,299.99017333984375,1015.1168212890625,3949.302978515625,81.16436004638672,112.78096008300781,81.0674819946289,329.99755859375,190.1636505126953,0.0,2330.0185546875,266.7804260253906,224.0623321533203,301.97607421875,514.3278198242188,0.0,139.13624572753906,209.98985290527344,1368.5833740234375,66.41829681396484,138.61427307128906
2012-06-30,115.09825897216797,590.51318359375,361.9682312011719,192.67173767089844,1214.0247802734375,84.33001708984375,663.999755859375,267.00604248046875,73.79268646240234,232.5675048828125,302.7630920410156,162.16229248046875,463.31500244140625,1547.5213623046875,190.14903259277344,413.73797607421875,98.5295181274414,578.348388671875,265.84033203125,0.0,1596.413330078125,110.41050720214844,382.2235107421875,145.52503967285156,324.63818359375,249.62063598632812,136.46640014648438,58.907981872558594,294.2317199707031,528.15087890625,325.3998718261719,1073.1917724609375,3976.83349609375,88.26417541503906,126.56185913085938,86.47959899902344,344.6978454589844,199.74305725097656,0.0,2903.246826171875,298.77056884765625,232.56558227539062,330.7982177734375,530.824462890625,0.0,146.8746795654297,209.47158813476562,1460.1282958984375,75.26406860351562,136.5117645263672
2012-07-31,114.61251068115234,605.6286010742188,339.1415100097656,197.77398681640625,1272.863525390625,97.75670623779297,722.5479736328125,262.7602233886719,73.0333023071289,209.4735565185547,323.9584045410156,167.71702575683594,500.10546875,1514.86767578125,185.54119873046875,448.6830749511719,107.0127182006836,610.3389892578125,277.32781982421875,0.0,1494.7601318359375,110.41050720214844,396.40753173828125,155.41708374023438,319.5795593261719,222.17538452148438,135.80764770507812,58.56803512573242,266.3286437988281,517.6812133789062,328.0250549316406,1039.521240234375,3912.085205078125,86.80000305175781,127.05084991455078,90.36717224121094,347.2218933105469,185.5011444091797,0.0,3005.80419921875,306.3861999511719,220.96092224121094,319.02838134765625,516.760009765625,0.0,147.69418334960938,211.07421875,1580.60986328125,72.14186096191406,116.20421600341797
2012-08-31,107.6373291015625,606.4955444335938,340.66143798828125,189.65589904785156,1284.0313720703125,98.74138641357422,780.299072265625,215.9066619873047,67.7291030883789,226.2575225830078,364.0020446777344,164.65960693359375,526.9530029296875,1581.2537841796875,200.82940673828125,468.0537109375,112.73373413085938,648.0736694335938,280.7245178222656,0.0,1363.5880126953125,96.9551010131836,439.95758056640625,147.09420776367188,301.71337890625,236.7234344482422,140.99859619140625,60.98004913330078,288.3590087890625,512.8897705078125,358.3244323730469,1051.213623046875,4099.67822265625,92.87764739990234,122.76097106933594,91.51058197021484,360.82379150390625,170.68104553222656,0.0,3258.128173828125,316.2544250488281,228.63929748535156,279.6126403808594,561.1821899414062,0.0,166.4609375,210.45693969726562,1643.7803955078125,71.41924285888672,125.67423248291016
2012-09-30,121.68321228027344,701.2137451171875,367.06414794921875,215.61293029785156,1456.5975341796875,110.23888397216797,863.754150390625,232.73452758789062,69.58760070800781,214.4524383544922,366.3603210449219,168.02149963378906,493.1652526855469,1545.7852783203125,218.71873474121094,522.7858276367188,119.4478759765625,683.024658203125,296.5995178222656,0.0,1433.135986328125,112.60810089111328,462.28436279296875,171.0275421142578,338.9305725097656,252.75767517089844,143.29103088378906,66.37419128417969,322.2002258300781,610.5240478515625,404.85064697265625,1246.3514404296875,3850.7705078125,93.01554107666016,125.5373306274414,92.4725570678711,391.0891418457031,207.0282440185547,0.0,3805.752685546875,327.9623107910156,261.60247802734375,309.1165771484375,538.9815673828125,0.0,202.72787475585938,248.3979949951172,1909.8970947265625,79.03689575195312,130.3579559326172
2012-10-31,120.96659088134766,750.9083251953125,361.6419982910156,224.50865173339844,1441.8526611328125,120.81729888916016,844.9564819335938,236.38133239746094,67.83960723876953,217.83177185058594,349.900146484375,161.851318359375,547.864990234375,1648.53125,220.22140502929688,522.75439453125,126.50778198242188,671.2711791992188,299.3593444824219,0.0,1432.869384765625,108.82334899902344,464.7462158203125,169.86282348632812,348.5582275390625,237.25390625,149.0353240966797,64.82611083984375,300.4185485839844,621.229736328125,414.0997314453125,1326.077392578125,4122.56591796875,91.5470199584961,120.12007141113281,87.63186645507812,376.38885498046875,195.1592254638672,0.0,4054.484619140625,328.1752014160156,249.08233642578125,302.56011962890625,548.3184204101562,0.0,197.7003936767578,246.3561553955078,1936.2999267578125,68.76961517333984,119.93069458007812
